image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.5.1,CAZ,CAZ,CAZ,30.0,43.26,13.26,13.26,0.92,0.72,True,False
1.5.1,CIP,CIP,CIP,38.0,41.47,3.47,3.47,0.94,0.72,True,False
1.5.1,CN,CN,CN,20.0,43.26,23.26,23.26,0.99,0.72,True,False
1.5.1,CPD,CPD,CPD,35.0,39.91,4.91,4.91,0.99,0.84,True,False
1.5.1,CRO,CRO,CRO,38.0,34.97,-3.03,3.03,0.988,0.792,True,False
1.5.1,ETP,ETP,ETP,37.0,39.91,2.91,2.91,0.977,0.83,True,False
1.5.1,F100,F100,F100,6.0,34.62,28.62,28.62,0.99,0.785,True,False
1.5.1,FEP,FEP,FEP,36.0,33.71,-2.29,2.29,0.99,0.793,True,False
1.5.1,FF,FF,FF,6.0,28.99,22.99,22.99,0.99,0.84,True,False
1.5.1,FOX,FOX,FOX,26.0,33.72,7.72,7.72,0.99,0.789,True,False
1.5.1,MEM,MEM,MEM,30.0,43.26,13.26,13.26,0.99,0.72,True,False
1.5.1,PEF,PEF,PEF,28.0,39.91,11.91,11.91,0.99,0.84,True,False
1.5.1,SXT,SXT,SXT,28.0,37.91,9.91,9.91,0.99,0.84,True,False
1.5.1,TPZ,TPZ,TPZ,28.0,43.26,15.26,15.26,0.918,0.72,True,False
1.6.1,AM,AM10,AM10,6.0,38.89,32.89,32.89,0.99,0.84,True,False
1.6.1,AMC,AMC,AMC,17.0,16.91,-0.09,0.09,0.99,0.84,True,False
1.6.1,CAZ,CAZ,CAZ,31.0,42.06,11.06,11.06,0.92,0.72,True,False
1.6.1,CIP,CIP,CIP,19.0,40.47,21.47,21.47,0.99,0.84,True,False
1.6.1,CN,CN,CN,19.0,42.06,23.06,23.06,0.99,0.72,True,False
1.6.1,CPD,CPD,CPD,27.0,40.47,13.47,13.47,0.99,0.734,True,False
1.6.1,CRO,CRO,CRO,33.0,35.6,2.6,2.6,0.94,0.789,True,False
1.6.1,ETP,ETP,ETP,39.0,6.0,-33.0,33.0,0.99,0.684,True,True
1.6.1,F100,F100,F100,19.0,18.99,-0.01,0.01,0.99,0.84,True,False
1.6.1,FEP,FEP,FEP,36.0,33.87,-2.13,2.13,0.99,0.791,True,False
1.6.1,FF,FF,FF,30.0,28.04,-1.96,1.96,0.99,0.84,True,False
1.6.1,FOX,FOX,FOX,24.0,42.06,18.06,18.06,0.99,0.72,True,False
1.6.1,MEM,MEM,MEM,38.0,40.47,2.47,2.47,0.99,0.84,True,False
1.6.1,PEF,PEF,PEF,6.0,42.06,36.06,36.06,0.99,0.72,True,False
1.6.1,SXT,SXT,SXT,25.0,42.06,17.06,17.06,0.99,0.72,True,False
1.6.1,TPZ,TPZ,TPZ,13.0,39.57,26.57,26.57,0.969,0.84,True,False
1.7.1,AK,AK,AK,19.0,21.22,2.22,2.22,0.99,0.84,True,False
1.7.1,AM,AM10,AM,6.0,41.29,35.29,35.29,0.99,0.84,True,False
1.7.1,AMC,AMC,AMC,6.0,23.99,17.99,17.99,0.99,0.84,True,False
1.7.1,CAZ,CAZ,CAZ,26.0,41.29,15.29,15.29,0.92,0.84,True,False
1.7.1,CIP,CIP,CIP,30.0,41.29,11.29,11.29,0.99,0.84,True,False
1.7.1,CN,CN,CN,22.0,42.91,20.91,20.91,0.99,0.72,True,False
1.7.1,CPD,CPD,CPD,21.0,20.99,-0.01,0.01,0.99,0.84,True,False
1.7.1,CRO,CRO,CRO,25.0,29.3,4.3,4.3,0.99,0.84,True,False
1.7.1,FEP,FEP,FEP,29.0,40.6,11.6,11.6,0.99,0.84,True,False
1.7.1,FOX,FOX,FOX,15.0,42.91,27.91,27.91,0.99,0.72,True,False
1.7.1,MEM,MEM,MEM,29.0,41.29,12.29,12.29,0.99,0.84,True,False
1.7.1,PEF,PEF,PEF,25.0,41.29,16.29,16.29,0.99,0.84,True,False
1.7.1,SXT,SXT,SXT,22.0,41.29,19.29,19.29,0.99,0.84,True,False
1.7.1,TOB,TOB,TOB,21.0,22.84,1.84,1.84,0.99,0.84,True,False
1.7.1,TPZ,TPZ,TPZ,20.0,41.29,21.29,21.29,0.99,0.84,True,False
1.8.1,AK,AK,AK,19.0,20.87,1.87,1.87,0.968,0.84,True,False
1.8.1,AM,AM10,AM10,6.0,41.51,35.51,35.51,0.99,0.84,True,False
1.8.1,AMC,AMC,AMC,21.0,24.82,3.82,3.82,0.99,0.84,True,False
1.8.1,CAZ,CAZ,CAZ,26.0,41.51,15.51,15.51,0.99,0.84,True,False
1.8.1,CIP,CIP,CIP,27.0,16.93,-10.07,10.07,0.96,0.84,True,False
1.8.1,CN,CN,CN,20.0,21.8,1.8,1.8,0.99,0.84,True,False
1.8.1,CPD,CPD,CPD,28.0,41.51,13.51,13.51,0.99,0.84,True,False
1.8.1,CRO,CRO,CRO,30.0,29.92,-0.08,0.08,0.99,0.84,True,False
1.8.1,ETP,ETP,ETP,32.0,41.51,9.51,9.51,0.99,0.84,True,False
1.8.1,FEP,FEP,FEP,29.0,41.51,12.51,12.51,0.99,0.84,True,False
1.8.1,FOX,FOX,FOX,23.0,34.99,11.99,11.99,0.99,0.793,True,False
1.8.1,MEM,MEM,MEM,29.0,41.51,12.51,12.51,0.99,0.84,True,False
1.8.1,PEF,PEF,PEF,26.0,30.57,4.57,4.57,0.99,0.84,True,False
1.8.1,SXT,SXT,SXT,25.0,25.05,0.05,0.05,0.99,0.84,True,False
1.8.1,TPZ,TPZ,TPZ,20.0,43.14,23.14,23.14,0.99,0.72,True,False
1.9.1,AK,AK,AK,20.0,22.07,2.07,2.07,0.99,0.84,True,False
1.9.1,AM,AM10,AM10,20.0,41.06,21.06,21.06,0.99,0.84,True,False
1.9.1,AMC,AMC,AMC,21.0,19.04,-1.96,1.96,0.981,0.84,True,False
1.9.1,CAZ,CAZ,CAZ,26.0,41.06,15.06,15.06,0.99,0.84,True,False
1.9.1,CIP,CIP,CIP,28.0,41.06,13.06,13.06,0.99,0.84,True,False
1.9.1,CN,CN,CN,22.0,41.06,19.06,19.06,0.99,0.84,True,False
1.9.1,CPD,CPD,CPD,22.0,41.06,19.06,19.06,0.99,0.84,True,False
1.9.1,CRO,CRO,CRO,30.0,30.05,0.05,0.05,0.99,0.84,True,False
1.9.1,ETP,ETP,ETP,30.0,41.06,11.06,11.06,0.977,0.84,True,False
1.9.1,FEP,FEP,FEP,32.0,41.06,9.06,9.06,0.99,0.84,True,False
1.9.1,FOX,FOX,FOX,22.0,42.67,20.67,20.67,0.99,0.72,True,False
1.9.1,MEM,MEM,MEM,32.0,41.06,9.06,9.06,0.99,0.84,True,False
1.9.1,PEF,PEF,PEF,24.0,34.54,10.54,10.54,0.99,0.791,True,False
1.9.1,SXT,SXT,SXT,6.0,6.0,0.0,0.0,0.99,0.688,True,True
1.9.1,TOB,TOB,TOB,22.0,6.0,-16.0,16.0,0.99,0.696,True,True
1.9.1,TPZ,TPZ,TPZ,22.0,41.06,19.06,19.06,0.99,0.84,True,False
